id	code	country	Indicator	edits	gdpedits	population	editspopulation	citations	fsize	links
862	VEN	venezuela	438283564814.815	8848	49534760.942	30405207	0.00029100278777908	1002	5647358	14170
408	PRK	north korea		7367	0	24895480	0.000295917170506453	2085	8090788	17766
646	RWA	rwanda	7521261790.62935	3608	2084606.92645	11776522	0.000306372288864233	967	3336595	8388
604	PER	peru	202349846974.371	9649	20971069.227	30375603	0.000317656245375606	633	5381479	16059
108	BDI	burundi	2714507030.9757	3342	812240.2846	10162532	0.000328855053051739	210	1796598	4801
24	AGO	angola	124178241815.737	7222	17194439.465	21471618	0.000336350991341221	727	4117112	11212
466	MLI	mali	10942727309.5296	5208	2101138.1163	15301650	0.000340355451863034	625	3401409	9256
887	YEM	yemen	35954502303.5041	8442	4259002.8789	24407381	0.000345878978166482	925	5317491	14964
320	GTM	guatemala	53796709474.5953	5353	10049824.2994	15468203	0.00034606476266183	1322	4848474	13327
894	ZMB	zambia	26820870558.9406	5032	5330061.7168	14538640	0.000346112153543935	402	2458163	5416
724	ESP	spain	1393040177013.68	16681	83510591.51	46617825	0.000357824501679347	3334	16565176	45770
710	ZAF	south africa	366057913367.137	19113	19152300.181	53157490	0.000359554222744528	3528	20480119	48536
120	CMR	cameroon	29567504655.4935	8190	3610195.9286	22253959	0.000368024404107152	956	4537626	11383
504	MAR	morocco	103835702813.634	12368	8395512.841	33008150	0.000374695340393206	1463	8889048	23442
218	ECU	ecuador	94472679000	6189	15264611.2457586	15737878	0.000393255050013731	898	5252818	12692
458	MYS	malaysia	313159097400.743	11799	26541155.810	29716965	0.000397045929824933	1583	8991892	26779
124	CAN	canada	1826768562832.01	13989	130586072.12	35154279	0.000397931642972965	3417	14180797	41982
768	TGO	togo	4338575823.81993	2725	1592137.91700	6816982	0.000399737009720724	74	1478904	4415
4	AFG	afghanistan	20309671014.6236	12561	1616883.2907	30551674	0.000411139500899362	3010	12811496	34286
804	UKR	ukraine	177430609756.098	18831	9422261.683	45489600	0.000413962751925715	3680	18180124	51204
204	BEN	benin	8307222087.28038	4361	1904889.26560	10323474	0.000422435315863633	86	1013683	2666
682	SAU	saudi arabia	748449600000	12231	61192837.8709836	28828870	0.000424262206600536	1666	10453381	29624
368	IRQ	iraq	229327284734.134	14349	15982109.188	33417476	0.000429386109232187	2568	11919538	33762
616	POL	poland	525865974814.909	16912	31094251.113	38514479	0.000439107588603237	2953	15472218	44481
760	SYR	syria		10343	0	22845550	0.000452735871975067	3049	14605831	40095
642	ROU	romania	189638162013.271	9161	20700596.225	19981358	0.000458477346734892	789	5283644	15969
686	SEN	senegal	14791699008.5823	6715	2202784.6625	14133280	0.000475119717432896	623	2955926	7496
398	KAZ	kazakhstan	231876282133.87	8504	27266731.20	17035275	0.000499199455248007	760	5030223	15433
148	TCD	chad	13513552424.9049	6569	2057170.4102	12825314	0.000512190188871789	446	2572952	6902
