id	continent	average_edits	sum_edits	sum_population	edits_per_population
620	europe	10198.391304347826	469126.0	612739756.0	0.000765620306837084
68	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
784	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
524	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
144	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
762	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
232	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
152	south_america	7748.25	92979.0	406487418.0	0.0002287377072025388
178	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
222	north_america	6456.086956521739	148490.0	249206342.0	0.0005958516095870465
418	asia	11215.15909090909	493467.0	4360997442.0	0.00011315461808060377
140	africa	5866.222222222223	316776.0	1139460235.0	0.00027800531362992233
